FIELD,open land that can be cultivated,persons taking part in competition,sphere of influence,activity,interest,study,arena with special use,as athletics,catch a hit or thrown object,,,,,,,,,
Households,domestic,domestic establishment,,,,,,,,,,,,,,,,
with,,,,,,,,,,,,,,,,,,
solar,,,,,,,,,,,,,,,,,,
energy,person's spirit and vigor,generated power,,,,,,,,,,,,,,,,
as,while,when,in the way that, to a degree,because,in the role of,,,,,,,,,,,,
main,principal,predominant,absolute,utter,pipe for system,,,,,,,,,,,,,
source,,,,,,,,,,,,,,,,,,
of,from,denoting equivalence,,,,,,,,,,,,,,,,
lighting,illumination,ignition,,,,,,,,,,,,,,,,
power,ability,competence,physical ability,capacity,control,dominance,,,,,,,,,,,,
panel,,,,,,,,,,,,,,,,,,
panels,,,,,,,,,,,,,,,,,,
Total,complete,thorough,whole,add up,,,,,,,,,,,,,,
in,,,,,,,,,,,,,,,,,,
District,,,,,,,,,,,,,,,,,,
number,unit of the mathematical system,aggregate,bunch,count,calculate,no.,#,,,,,,,,,,,
houses,human habitat,family,ancestry,business establishment,government body,sometimes elected,responsible for laws,,,,,,,,,,,
#,number ,,,,,,,,,,,,,,,,,
total,complete,thorough,whole,add up,,,,,,,,,,,,,,
no.,number ,,,,,,,,,,,,,,,,,
no,negative,not,,,,,,,,,,,,,,,,
%,percent,percentage,relative,,,,,,,,,,,,,,,
without,,,,,,,,,,,,,,,,,,
lights,luminescence from sun or other source,context,point of view, understanding,illuminate,start on fire,step down, land,,,,,,,,,,
percent,,,,,,,,,,,,,,,,,,
light,illuminated,blond,fair,not heavy,small in amount,content,simple,easy,funny,cheery,luminescence from sun or other source,context,point of view, understanding,illuminate,start on fire,step down, land
drinking,,,,,,,,,,,,,,,,,,
water,pure liquid hydrogen and oxygen,dampen, put water in,,,,,,,,,,,,,,,
within,,,,,,,,,,,,,,,,,,
premesis,,,,,,,,,,,,,,,,,,
houses,percent of houses,house percentage,number of houses,,,,,,,,,,,,,,,
premesis,,,,,,,,,,,,,,,,,,
Person,,,,,,,,,,,,,,,,,,
illiterates,mooncalf,ninny,schmo,schmuck,softhead,tomfool,turkey,fool,Illiterates,iliterates,,,,,,,,
illiteracy,,,,,,,,,,,,,,,,,,
rate,ratio,proportion,fee charged for service,privilege,goods,speed,pace,judge,classify,be entitled to,,,,,,,,
Non,non,,,,,,,,,,,,,,,,,
Workers,number of workers,workers,worker,,,,,,,,,,,,,,,
Persons,number of people,number of persons,persons,person,,,,,,,,,,,,,,
unemployed,,,,,,,,,,,,,,,,,,
people,People,,,,,,,,,,,,,,,,,
Marginal,marginal,,,,,,,,,,,,,,,,,
worked,,,,,,,,,,,,,,,,,,
for,in consequence of the fact that,in consideration of,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
moths,insect,caterpillar,,,,,,,,,,,,,,,,
during,,,,,,,,,,,,,,,,,,
last,final, newest,end,,,,,,,,,,,,,,,
year,length,time,vintage,senectitude,senescence,date,,,,,,,,,,,,
Males,male,men,,,,,,,,,,,,,,,,
male,masculine,man,,,,,,,,,,,,,,,,
marginal,,,,,,,,,,,,,,,,,,
experience,knowledge,happening,occurrence,,,,,,,,,,,,,,,
to,in the direction of,indicating position,until,so that,indicating degree,indicating results,,,,,,,,,,,,
months,,,,,,,,,,,,,,,,,,
6,six,,,,,,,,,,,,,,,,,
